WBAN|WMO|CallSign|ClimateDivisionCode|ClimateDivisionStateCode|ClimateDivisionStationCode|Name|State|Location|Latitude|Longitude|GroundHeight|StationHeight|Barometer|TimeZone
03722||TDF||||ROXBORO|NC|PERSON COUNTY AIRPORT|36.285|-78.983|609|609||-5 
03723||TTA||||SANFORD|NC|SANFORD-LEE COUNTY RGNL ARPT|35.582|-79.100|247|247||-5 
03724||DMW||||WESTMINISTER|MI|CARROLL CO RGNL/JJACK B POAGE FIELD AIRPORT|39.608|-77.001|789|789||-5 
03725||W99||||PETERSBURG|WV|GRANT COUNT AIRPORT|38.994|-79.134|960|960||-5 
03726||WWD||||WILDWOOD|NJ|CAPE MAY COUNTY AIRPORT|39.008|-74.901|23|23||-5 
03727||CTZ||||CLINTON|NC|SAMPSON COUNTY AIRPORT|34.976|-78.351|148|148||-5 
03728||90A2||||MCCELLANVILLE 7 NE|SC|SCDNR (SANTEE COASTAL RESERVE)|33.153|-79.364|6|9|99999|-5 
03730||JGG||||WILLIAMSBURG|VA|WILLIAMSBURG-JAMESTOWN APT|37.239|-76.716|49|49||-5 
03731||LHZ||||LOUISBURG|NC|FRANKLIN COUNTY AIRPORT|36.023|-78.330|369|369||-5 
03732||CBE||||CUMBERLAND|MD|GREATER CUMBERLAND REGIONAL AIRPORT|39.616|-78.761|0|775|0|-5 
03733||05C0||||ELKINS 21 ENE|WV|CANAAN VALLEY RESORT STATE PARK|39.013|-79.474|3387|3390|99999|-5 
03734||FYJ||||WEST POINT|VA|MIDDLE PENINSULA REGIONAL AIRPORT|37.521|-76.765|24|24||-5 
03735||RMN||||STAFFORD|VA|STAFFORD REGIONAL AIRPORT|38.398|-77.456|212|212||-5 
03736||FFA||||KILL DEVIL HILLS|NC|FIRST FLIGHT AIRPORT|36.018|-75.671|13|13||-5 
03737||ONX||||CURRITUCK|NC|CURRITUCK COUNTY AIRPORT|36.399|-76.016|99999|16|99999|-5 
03738||RCZ||||ROCKINGHAM|NC|RICHMOND COUNTY AIRPORT|34.891|-79.759|358|358||-5 
03739||F58A||||CAPE CHARLES 5 ENE|VA|ANHEUSER BUSCH COASTAL RES. CTR. UNIV. OF VA|37.291|-75.927|26|29|99999|-5 
03741||OCW||||WASHINGTON|NC|WARREN FIELD AIRPORT|35.570|-77.050|0|38|0|-5 
03742||UDG||||DARLINGTON|SC|DARLINGTON COUNTY JETPORT AIRPORT|34.466|-79.890|0|192|0|-5 
03749||RSP||||CAMP DAVID|MD|CAMP DAVID|39.645|-77.468|1847|1842|0|-5 
03755||2G4||||OAKLAND|MD|GARRETT COUNTY AIRPORT|39.580|-79.339|99999|2933|99999|-5 
03756||ESN||||EASTON|MD|EASTON/NEWNAM FIELD AIRPORT|38.804|-76.069|99999|72|99999|-5 
03757||NUI||||ST INIGOES|MD|WEBSTER NAVAL OUTLYING FIELD|38.142|-76.429|99999|21|99999|-5 
03761||B680||||AVONDALE 2 N|PA|STROUD WATER RESEARCH CENTER|39.859|-75.786|397|400|99999|-5 
03763||SIF||||REIDSVILLE|NC|ROCKINGHAM COUNTY NC SHILOH AIRPORT|36.437|-79.851||693||-5 
03802||CKB||||CLARKSBURG|WV|HARRISON/MARION RGNL ARPT|39.296|-80.229|1180|1203|1185|-5 
03804||PKB|01|46|6849|PARKERSBURG|WV|MID-OHIO VALLEY REGIONAL AIRPORT|39.345|-81.439|809|864|866|-5 
03809||DYR|04|40|2685|DYERSBURG|TN|DYERSBURG MUNICIPAL ARPT|36.019|-89.318|338|338||-6 
03810||HKY|01|31|4020|HICKORY|NC|HICKORY REGIONAL AIRPORT|35.741|-81.390|1171|1188|1164|-5 
